Ref_Date,GEO,SEX,AGE,Vector,Coordinate,Value
1992/1994,Quebec,Females,At age 65,v52302249,6.3.2,19.8
1993/1995,Quebec,Females,At age 65,v52302249,6.3.2,19.7
1994/1996,Quebec,Females,At age 65,v52302249,6.3.2,19.8
1995/1997,Quebec,Females,At age 65,v52302249,6.3.2,19.8
1996/1998,Quebec,Females,At age 65,v52302249,6.3.2,19.9
1997/1999,Quebec,Females,At age 65,v52302249,6.3.2,19.9
1998/2000,Quebec,Females,At age 65,v52302249,6.3.2,20.2
1999/2001,Quebec,Females,At age 65,v52302249,6.3.2,20.3
2000/2002,Quebec,Females,At age 65,v52302249,6.3.2,20.5
2001/2003,Quebec,Females,At age 65,v52302249,6.3.2,20.5
2002/2004,Quebec,Females,At age 65,v52302249,6.3.2,20.7
2003/2005,Quebec,Females,At age 65,v52302249,6.3.2,20.9
2004/2006,Quebec,Females,At age 65,v52302249,6.3.2,21.1
2005/2007,Quebec,Females,At age 65,v52302249,6.3.2,21.3
2006/2008,Quebec,Females,At age 65,v52302249,6.3.2,21.5
2007/2009,Quebec,Females,At age 65,v52302249,6.3.2,21.6
1992/1994,Ontario,Both sexes,At birth,v52302250,7.1.1,78.2
1993/1995,Ontario,Both sexes,At birth,v52302250,7.1.1,78.2
1994/1996,Ontario,Both sexes,At birth,v52302250,7.1.1,78.4
1995/1997,Ontario,Both sexes,At birth,v52302250,7.1.1,78.6
1996/1998,Ontario,Both sexes,At birth,v52302250,7.1.1,78.9
1997/1999,Ontario,Both sexes,At birth,v52302250,7.1.1,79.1
1998/2000,Ontario,Both sexes,At birth,v52302250,7.1.1,79.3
1999/2001,Ontario,Both sexes,At birth,v52302250,7.1.1,79.6
2000/2002,Ontario,Both sexes,At birth,v52302250,7.1.1,79.8
2001/2003,Ontario,Both sexes,At birth,v52302250,7.1.1,80.0
2002/2004,Ontario,Both sexes,At birth,v52302250,7.1.1,80.3
2003/2005,Ontario,Both sexes,At birth,v52302250,7.1.1,80.5
2004/2006,Ontario,Both sexes,At birth,v52302250,7.1.1,80.8
2005/2007,Ontario,Both sexes,At birth,v52302250,7.1.1,81.0
2006/2008,Ontario,Both sexes,At birth,v52302250,7.1.1,81.3
2007/2009,Ontario,Both sexes,At birth,v52302250,7.1.1,81.5
1992/1994,Ontario,Both sexes,At age 65,v52302251,7.1.2,18.0
1993/1995,Ontario,Both sexes,At age 65,v52302251,7.1.2,18.0
1994/1996,Ontario,Both sexes,At age 65,v52302251,7.1.2,18.0
1995/1997,Ontario,Both sexes,At age 65,v52302251,7.1.2,18.1
1996/1998,Ontario,Both sexes,At age 65,v52302251,7.1.2,18.2
1997/1999,Ontario,Both sexes,At age 65,v52302251,7.1.2,18.3
1998/2000,Ontario,Both sexes,At age 65,v52302251,7.1.2,18.5
1999/2001,Ontario,Both sexes,At age 65,v52302251,7.1.2,18.7
2000/2002,Ontario,Both sexes,At age 65,v52302251,7.1.2,18.9
2001/2003,Ontario,Both sexes,At age 65,v52302251,7.1.2,19.1
2002/2004,Ontario,Both sexes,At age 65,v52302251,7.1.2,19.3
2003/2005,Ontario,Both sexes,At age 65,v52302251,7.1.2,19.5
2004/2006,Ontario,Both sexes,At age 65,v52302251,7.1.2,19.8
2005/2007,Ontario,Both sexes,At age 65,v52302251,7.1.2,19.9
2006/2008,Ontario,Both sexes,At age 65,v52302251,7.1.2,20.2
2007/2009,Ontario,Both sexes,At age 65,v52302251,7.1.2,20.3
1992/1994,Ontario,Males,At birth,v52302252,7.2.1,75.2
1993/1995,Ontario,Males,At birth,v52302252,7.2.1,75.3
1994/1996,Ontario,Males,At birth,v52302252,7.2.1,75.6
1995/1997,Ontario,Males,At birth,v52302252,7.2.1,75.9
1996/1998,Ontario,Males,At birth,v52302252,7.2.1,76.2
1997/1999,Ontario,Males,At birth,v52302252,7.2.1,76.5
1998/2000,Ontario,Males,At birth,v52302252,7.2.1,76.8
1999/2001,Ontario,Males,At birth,v52302252,7.2.1,77.1
2000/2002,Ontario,Males,At birth,v52302252,7.2.1,77.4
2001/2003,Ontario,Males,At birth,v52302252,7.2.1,77.6
2002/2004,Ontario,Males,At birth,v52302252,7.2.1,77.9
2003/2005,Ontario,Males,At birth,v52302252,7.2.1,78.2
2004/2006,Ontario,Males,At birth,v52302252,7.2.1,78.5
2005/2007,Ontario,Males,At birth,v52302252,7.2.1,78.8
2006/2008,Ontario,Males,At birth,v52302252,7.2.1,79.0
2007/2009,Ontario,Males,At birth,v52302252,7.2.1,79.2
1992/1994,Ontario,Males,At age 65,v52302253,7.2.2,15.9
1993/1995,Ontario,Males,At age 65,v52302253,7.2.2,15.9
1994/1996,Ontario,Males,At age 65,v52302253,7.2.2,16.0
1995/1997,Ontario,Males,At age 65,v52302253,7.2.2,16.1
1996/1998,Ontario,Males,At age 65,v52302253,7.2.2,16.3
1997/1999,Ontario,Males,At age 65,v52302253,7.2.2,16.4
1998/2000,Ontario,Males,At age 65,v52302253,7.2.2,16.6
1999/2001,Ontario,Males,At age 65,v52302253,7.2.2,16.9
2000/2002,Ontario,Males,At age 65,v52302253,7.2.2,17.2
2001/2003,Ontario,Males,At age 65,v52302253,7.2.2,17.4
2002/2004,Ontario,Males,At age 65,v52302253,7.2.2,17.6
2003/2005,Ontario,Males,At age 65,v52302253,7.2.2,17.8
2004/2006,Ontario,Males,At age 65,v52302253,7.2.2,18.1
2005/2007,Ontario,Males,At age 65,v52302253,7.2.2,18.3
2006/2008,Ontario,Males,At age 65,v52302253,7.2.2,18.5
2007/2009,Ontario,Males,At age 65,v52302253,7.2.2,18.7
1992/1994,Ontario,Females,At birth,v52302254,7.3.1,81.0
1993/1995,Ontario,Females,At birth,v52302254,7.3.1,81.0
1994/1996,Ontario,Females,At birth,v52302254,7.3.1,81.1
1995/1997,Ontario,Females,At birth,v52302254,7.3.1,81.3
1996/1998,Ontario,Females,At birth,v52302254,7.3.1,81.4
1997/1999,Ontario,Females,At birth,v52302254,7.3.1,81.6
1998/2000,Ontario,Females,At birth,v52302254,7.3.1,81.7
1999/2001,Ontario,Females,At birth,v52302254,7.3.1,81.9
2000/2002,Ontario,Females,At birth,v52302254,7.3.1,82.1
2001/2003,Ontario,Females,At birth,v52302254,7.3.1,82.3
2002/2004,Ontario,Females,At birth,v52302254,7.3.1,82.5
2003/2005,Ontario,Females,At birth,v52302254,7.3.1,82.6
2004/2006,Ontario,Females,At birth,v52302254,7.3.1,83.0
2005/2007,Ontario,Females,At birth,v52302254,7.3.1,83.1
2006/2008,Ontario,Females,At birth,v52302254,7.3.1,83.4
2007/2009,Ontario,Females,At birth,v52302254,7.3.1,83.6
1992/1994,Ontario,Females,At age 65,v52302255,7.3.2,19.8
1993/1995,Ontario,Females,At age 65,v52302255,7.3.2,19.7
1994/1996,Ontario,Females,At age 65,v52302255,7.3.2,19.8
1995/1997,Ontario,Females,At age 65,v52302255,7.3.2,19.9
1996/1998,Ontario,Females,At age 65,v52302255,7.3.2,19.9
1997/1999,Ontario,Females,At age 65,v52302255,7.3.2,20.0
1998/2000,Ontario,Females,At age 65,v52302255,7.3.2,20.1
1999/2001,Ontario,Females,At age 65,v52302255,7.3.2,20.2
2000/2002,Ontario,Females,At age 65,v52302255,7.3.2,20.4
2001/2003,Ontario,Females,At age 65,v52302255,7.3.2,20.6
2002/2004,Ontario,Females,At age 65,v52302255,7.3.2,20.8
2003/2005,Ontario,Females,At age 65,v52302255,7.3.2,20.9
2004/2006,Ontario,Females,At age 65,v52302255,7.3.2,21.2
2005/2007,Ontario,Females,At age 65,v52302255,7.3.2,21.3
2006/2008,Ontario,Females,At age 65,v52302255,7.3.2,21.6
2007/2009,Ontario,Females,At age 65,v52302255,7.3.2,21.7
1992/1994,Manitoba,Both sexes,At birth,v52302256,8.1.1,77.8
1993/1995,Manitoba,Both sexes,At birth,v52302256,8.1.1,77.7
1994/1996,Manitoba,Both sexes,At birth,v52302256,8.1.1,77.8
1995/1997,Manitoba,Both sexes,At birth,v52302256,8.1.1,77.9
1996/1998,Manitoba,Both sexes,At birth,v52302256,8.1.1,78.0
1997/1999,Manitoba,Both sexes,At birth,v52302256,8.1.1,78.0
1998/2000,Manitoba,Both sexes,At birth,v52302256,8.1.1,78.0
1999/2001,Manitoba,Both sexes,At birth,v52302256,8.1.1,78.2
2000/2002,Manitoba,Both sexes,At birth,v52302256,8.1.1,78.5
2001/2003,Manitoba,Both sexes,At birth,v52302256,8.1.1,78.7
2002/2004,Manitoba,Both sexes,At birth,v52302256,8.1.1,78.8
2003/2005,Manitoba,Both sexes,At birth,v52302256,8.1.1,78.9
2004/2006,Manitoba,Both sexes,At birth,v52302256,8.1.1,79.2
2005/2007,Manitoba,Both sexes,At birth,v52302256,8.1.1,79.3
2006/2008,Manitoba,Both sexes,At birth,v52302256,8.1.1,79.5
2007/2009,Manitoba,Both sexes,At birth,v52302256,8.1.1,79.5
1992/1994,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.2
1993/1995,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.1
1994/1996,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.2
1995/1997,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.2
1996/1998,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.2
1997/1999,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.2
1998/2000,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.3
1999/2001,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.5
2000/2002,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.7
2001/2003,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.8
2002/2004,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.8
2003/2005,Manitoba,Both sexes,At age 65,v52302257,8.1.2,18.9
2004/2006,Manitoba,Both sexes,At age 65,v52302257,8.1.2,19.2
2005/2007,Manitoba,Both sexes,At age 65,v52302257,8.1.2,19.4
2006/2008,Manitoba,Both sexes,At age 65,v52302257,8.1.2,19.5
2007/2009,Manitoba,Both sexes,At age 65,v52302257,8.1.2,19.6
1992/1994,Manitoba,Males,At birth,v52302258,8.2.1,74.7
1993/1995,Manitoba,Males,At birth,v52302258,8.2.1,74.7
1994/1996,Manitoba,Males,At birth,v52302258,8.2.1,75.0
1995/1997,Manitoba,Males,At birth,v52302258,8.2.1,75.2
1996/1998,Manitoba,Males,At birth,v52302258,8.2.1,75.3
1997/1999,Manitoba,Males,At birth,v52302258,8.2.1,75.3
1998/2000,Manitoba,Males,At birth,v52302258,8.2.1,75.2
1999/2001,Manitoba,Males,At birth,v52302258,8.2.1,75.4
2000/2002,Manitoba,Males,At birth,v52302258,8.2.1,75.7
2001/2003,Manitoba,Males,At birth,v52302258,8.2.1,76.0
2002/2004,Manitoba,Males,At birth,v52302258,8.2.1,76.2
2003/2005,Manitoba,Males,At birth,v52302258,8.2.1,76.4
2004/2006,Manitoba,Males,At birth,v52302258,8.2.1,76.7
2005/2007,Manitoba,Males,At birth,v52302258,8.2.1,76.8
2006/2008,Manitoba,Males,At birth,v52302258,8.2.1,76.9
2007/2009,Manitoba,Males,At birth,v52302258,8.2.1,77.0
1992/1994,Manitoba,Males,At age 65,v52302259,8.2.2,15.9
1993/1995,Manitoba,Males,At age 65,v52302259,8.2.2,15.9
1994/1996,Manitoba,Males,At age 65,v52302259,8.2.2,16.1
1995/1997,Manitoba,Males,At age 65,v52302259,8.2.2,16.2
1996/1998,Manitoba,Males,At age 65,v52302259,8.2.2,16.3
1997/1999,Manitoba,Males,At age 65,v52302259,8.2.2,16.2
1998/2000,Manitoba,Males,At age 65,v52302259,8.2.2,16.2
1999/2001,Manitoba,Males,At age 65,v52302259,8.2.2,16.4
2000/2002,Manitoba,Males,At age 65,v52302259,8.2.2,16.7
2001/2003,Manitoba,Males,At age 65,v52302259,8.2.2,16.8
2002/2004,Manitoba,Males,At age 65,v52302259,8.2.2,16.9
2003/2005,Manitoba,Males,At age 65,v52302259,8.2.2,17.0
2004/2006,Manitoba,Males,At age 65,v52302259,8.2.2,17.4
2005/2007,Manitoba,Males,At age 65,v52302259,8.2.2,17.5
2006/2008,Manitoba,Males,At age 65,v52302259,8.2.2,17.6
2007/2009,Manitoba,Males,At age 65,v52302259,8.2.2,17.7
1992/1994,Manitoba,Females,At birth,v52302260,8.3.1,80.9
1993/1995,Manitoba,Females,At birth,v52302260,8.3.1,80.6
1994/1996,Manitoba,Females,At birth,v52302260,8.3.1,80.6
1995/1997,Manitoba,Females,At birth,v52302260,8.3.1,80.5
1996/1998,Manitoba,Females,At birth,v52302260,8.3.1,80.7
1997/1999,Manitoba,Females,At birth,v52302260,8.3.1,80.7
1998/2000,Manitoba,Females,At birth,v52302260,8.3.1,80.8
1999/2001,Manitoba,Females,At birth,v52302260,8.3.1,81.1
2000/2002,Manitoba,Females,At birth,v52302260,8.3.1,81.2
2001/2003,Manitoba,Females,At birth,v52302260,8.3.1,81.3
2002/2004,Manitoba,Females,At birth,v52302260,8.3.1,81.3
2003/2005,Manitoba,Females,At birth,v52302260,8.3.1,81.4
2004/2006,Manitoba,Females,At birth,v52302260,8.3.1,81.6
2005/2007,Manitoba,Females,At birth,v52302260,8.3.1,81.8
2006/2008,Manitoba,Females,At birth,v52302260,8.3.1,82.0
2007/2009,Manitoba,Females,At birth,v52302260,8.3.1,81.9
1992/1994,Manitoba,Females,At age 65,v52302261,8.3.2,20.2
1993/1995,Manitoba,Females,At age 65,v52302261,8.3.2,20.1
1994/1996,Manitoba,Females,At age 65,v52302261,8.3.2,20.0
1995/1997,Manitoba,Females,At age 65,v52302261,8.3.2,19.9
1996/1998,Manitoba,Females,At age 65,v52302261,8.3.2,19.9
1997/1999,Manitoba,Females,At age 65,v52302261,8.3.2,20.0
1998/2000,Manitoba,Females,At age 65,v52302261,8.3.2,20.2
1999/2001,Manitoba,Females,At age 65,v52302261,8.3.2,20.3
2000/2002,Manitoba,Females,At age 65,v52302261,8.3.2,20.4
2001/2003,Manitoba,Females,At age 65,v52302261,8.3.2,20.5
2002/2004,Manitoba,Females,At age 65,v52302261,8.3.2,20.5
2003/2005,Manitoba,Females,At age 65,v52302261,8.3.2,20.6
2004/2006,Manitoba,Females,At age 65,v52302261,8.3.2,20.7
2005/2007,Manitoba,Females,At age 65,v52302261,8.3.2,20.9
2006/2008,Manitoba,Females,At age 65,v52302261,8.3.2,21.1
2007/2009,Manitoba,Females,At age 65,v52302261,8.3.2,21.2
1992/1994,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,78.6
1993/1995,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,78.3
1994/1996,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,78.3
1995/1997,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,78.3
1996/1998,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,78.4
1997/1999,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,78.5
1998/2000,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,78.5
1999/2001,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,78.8
2000/2002,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,79.0
2001/2003,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,79.1
2002/2004,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,79.1
2003/2005,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,79.2
2004/2006,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,79.4
2005/2007,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,79.5
2006/2008,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,79.5
2007/2009,Saskatchewan,Both sexes,At birth,v52302262,9.1.1,79.6
1992/1994,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,18.9
1993/1995,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,18.9
1994/1996,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,18.8
1995/1997,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,18.8
1996/1998,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,18.7
1997/1999,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,18.7
1998/2000,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,18.7
1999/2001,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,18.8
2000/2002,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,19.0
2001/2003,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,19.1
2002/2004,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,19.2
2003/2005,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,19.4
2004/2006,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,19.5
2005/2007,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,19.6
2006/2008,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,19.6
2007/2009,Saskatchewan,Both sexes,At age 65,v52302263,9.1.2,19.7
1992/1994,Saskatchewan,Males,At birth,v52302264,9.2.1,75.5
1993/1995,Saskatchewan,Males,At birth,v52302264,9.2.1,75.1
1994/1996,Saskatchewan,Males,At birth,v52302264,9.2.1,75.2
1995/1997,Saskatchewan,Males,At birth,v52302264,9.2.1,75.3
1996/1998,Saskatchewan,Males,At birth,v52302264,9.2.1,75.5
1997/1999,Saskatchewan,Males,At birth,v52302264,9.2.1,75.5
1998/2000,Saskatchewan,Males,At birth,v52302264,9.2.1,75.6
1999/2001,Saskatchewan,Males,At birth,v52302264,9.2.1,75.9
2000/2002,Saskatchewan,Males,At birth,v52302264,9.2.1,76.2
2001/2003,Saskatchewan,Males,At birth,v52302264,9.2.1,76.2
2002/2004,Saskatchewan,Males,At birth,v52302264,9.2.1,76.3
2003/2005,Saskatchewan,Males,At birth,v52302264,9.2.1,76.4
2004/2006,Saskatchewan,Males,At birth,v52302264,9.2.1,76.7
2005/2007,Saskatchewan,Males,At birth,v52302264,9.2.1,76.9
2006/2008,Saskatchewan,Males,At birth,v52302264,9.2.1,76.9
2007/2009,Saskatchewan,Males,At birth,v52302264,9.2.1,77.0
1992/1994,Saskatchewan,Males,At age 65,v52302265,9.2.2,16.7
1993/1995,Saskatchewan,Males,At age 65,v52302265,9.2.2,16.7
1994/1996,Saskatchewan,Males,At age 65,v52302265,9.2.2,16.7
1995/1997,Saskatchewan,Males,At age 65,v52302265,9.2.2,16.7
1996/1998,Saskatchewan,Males,At age 65,v52302265,9.2.2,16.6
1997/1999,Saskatchewan,Males,At age 65,v52302265,9.2.2,16.5
1998/2000,Saskatchewan,Males,At age 65,v52302265,9.2.2,16.6
1999/2001,Saskatchewan,Males,At age 65,v52302265,9.2.2,16.8
2000/2002,Saskatchewan,Males,At age 65,v52302265,9.2.2,16.9
2001/2003,Saskatchewan,Males,At age 65,v52302265,9.2.2,17.0
2002/2004,Saskatchewan,Males,At age 65,v52302265,9.2.2,17.1
2003/2005,Saskatchewan,Males,At age 65,v52302265,9.2.2,17.4
2004/2006,Saskatchewan,Males,At age 65,v52302265,9.2.2,17.6
2005/2007,Saskatchewan,Males,At age 65,v52302265,9.2.2,17.8
2006/2008,Saskatchewan,Males,At age 65,v52302265,9.2.2,17.8
2007/2009,Saskatchewan,Males,At age 65,v52302265,9.2.2,17.9
1992/1994,Saskatchewan,Females,At birth,v52302266,9.3.1,81.8
1993/1995,Saskatchewan,Females,At birth,v52302266,9.3.1,81.7
1994/1996,Saskatchewan,Females,At birth,v52302266,9.3.1,81.5
1995/1997,Saskatchewan,Females,At birth,v52302266,9.3.1,81.4
1996/1998,Saskatchewan,Females,At birth,v52302266,9.3.1,81.4
1997/1999,Saskatchewan,Females,At birth,v52302266,9.3.1,81.6
1998/2000,Saskatchewan,Females,At birth,v52302266,9.3.1,81.5
1999/2001,Saskatchewan,Females,At birth,v52302266,9.3.1,81.7
2000/2002,Saskatchewan,Females,At birth,v52302266,9.3.1,81.8
2001/2003,Saskatchewan,Females,At birth,v52302266,9.3.1,82.0
2002/2004,Saskatchewan,Females,At birth,v52302266,9.3.1,82.0
2003/2005,Saskatchewan,Females,At birth,v52302266,9.3.1,82.0
2004/2006,Saskatchewan,Females,At birth,v52302266,9.3.1,82.1
2005/2007,Saskatchewan,Females,At birth,v52302266,9.3.1,82.0
2006/2008,Saskatchewan,Females,At birth,v52302266,9.3.1,82.1
2007/2009,Saskatchewan,Females,At birth,v52302266,9.3.1,82.1
1992/1994,Saskatchewan,Females,At age 65,v52302267,9.3.2,21.1
1993/1995,Saskatchewan,Females,At age 65,v52302267,9.3.2,21.0
1994/1996,Saskatchewan,Females,At age 65,v52302267,9.3.2,20.8
1995/1997,Saskatchewan,Females,At age 65,v52302267,9.3.2,20.8
1996/1998,Saskatchewan,Females,At age 65,v52302267,9.3.2,20.7
1997/1999,Saskatchewan,Females,At age 65,v52302267,9.3.2,20.7
1998/2000,Saskatchewan,Females,At age 65,v52302267,9.3.2,20.6
1999/2001,Saskatchewan,Females,At age 65,v52302267,9.3.2,20.7
2000/2002,Saskatchewan,Females,At age 65,v52302267,9.3.2,20.8
2001/2003,Saskatchewan,Females,At age 65,v52302267,9.3.2,21.0
2002/2004,Saskatchewan,Females,At age 65,v52302267,9.3.2,21.0
2003/2005,Saskatchewan,Females,At age 65,v52302267,9.3.2,21.1
2004/2006,Saskatchewan,Females,At age 65,v52302267,9.3.2,21.2
2005/2007,Saskatchewan,Females,At age 65,v52302267,9.3.2,21.2
2006/2008,Saskatchewan,Females,At age 65,v52302267,9.3.2,21.2
2007/2009,Saskatchewan,Females,At age 65,v52302267,9.3.2,21.3
