Ref_Date,GEO,SEX,AGE,Vector,Coordinate,Value
1992/1994,Alberta,Both sexes,At birth,v52302202,10.1.1,78.2
1993/1995,Alberta,Both sexes,At birth,v52302202,10.1.1,78.3
1994/1996,Alberta,Both sexes,At birth,v52302202,10.1.1,78.4
1995/1997,Alberta,Both sexes,At birth,v52302202,10.1.1,78.6
1996/1998,Alberta,Both sexes,At birth,v52302202,10.1.1,78.8
1997/1999,Alberta,Both sexes,At birth,v52302202,10.1.1,79.1
1998/2000,Alberta,Both sexes,At birth,v52302202,10.1.1,79.3
1999/2001,Alberta,Both sexes,At birth,v52302202,10.1.1,79.4
2000/2002,Alberta,Both sexes,At birth,v52302202,10.1.1,79.6
2001/2003,Alberta,Both sexes,At birth,v52302202,10.1.1,79.8
2002/2004,Alberta,Both sexes,At birth,v52302202,10.1.1,80.0
2003/2005,Alberta,Both sexes,At birth,v52302202,10.1.1,80.1
2004/2006,Alberta,Both sexes,At birth,v52302202,10.1.1,80.4
2005/2007,Alberta,Both sexes,At birth,v52302202,10.1.1,80.5
2006/2008,Alberta,Both sexes,At birth,v52302202,10.1.1,80.6
2007/2009,Alberta,Both sexes,At birth,v52302202,10.1.1,80.7
1992/1994,Alberta,Both sexes,At age 65,v52302203,10.1.2,18.5
1993/1995,Alberta,Both sexes,At age 65,v52302203,10.1.2,18.4
1994/1996,Alberta,Both sexes,At age 65,v52302203,10.1.2,18.5
1995/1997,Alberta,Both sexes,At age 65,v52302203,10.1.2,18.5
1996/1998,Alberta,Both sexes,At age 65,v52302203,10.1.2,18.6
1997/1999,Alberta,Both sexes,At age 65,v52302203,10.1.2,18.7
1998/2000,Alberta,Both sexes,At age 65,v52302203,10.1.2,18.9
1999/2001,Alberta,Both sexes,At age 65,v52302203,10.1.2,19.1
2000/2002,Alberta,Both sexes,At age 65,v52302203,10.1.2,19.3
2001/2003,Alberta,Both sexes,At age 65,v52302203,10.1.2,19.4
2002/2004,Alberta,Both sexes,At age 65,v52302203,10.1.2,19.5
2003/2005,Alberta,Both sexes,At age 65,v52302203,10.1.2,19.7
2004/2006,Alberta,Both sexes,At age 65,v52302203,10.1.2,19.9
2005/2007,Alberta,Both sexes,At age 65,v52302203,10.1.2,20.0
2006/2008,Alberta,Both sexes,At age 65,v52302203,10.1.2,20.1
2007/2009,Alberta,Both sexes,At age 65,v52302203,10.1.2,20.2
1992/1994,Alberta,Males,At birth,v52302204,10.2.1,75.4
1993/1995,Alberta,Males,At birth,v52302204,10.2.1,75.5
1994/1996,Alberta,Males,At birth,v52302204,10.2.1,75.6
1995/1997,Alberta,Males,At birth,v52302204,10.2.1,76.0
1996/1998,Alberta,Males,At birth,v52302204,10.2.1,76.2
1997/1999,Alberta,Males,At birth,v52302204,10.2.1,76.4
1998/2000,Alberta,Males,At birth,v52302204,10.2.1,76.7
1999/2001,Alberta,Males,At birth,v52302204,10.2.1,76.9
2000/2002,Alberta,Males,At birth,v52302204,10.2.1,77.1
2001/2003,Alberta,Males,At birth,v52302204,10.2.1,77.3
2002/2004,Alberta,Males,At birth,v52302204,10.2.1,77.6
2003/2005,Alberta,Males,At birth,v52302204,10.2.1,77.7
2004/2006,Alberta,Males,At birth,v52302204,10.2.1,77.9
2005/2007,Alberta,Males,At birth,v52302204,10.2.1,78.1
2006/2008,Alberta,Males,At birth,v52302204,10.2.1,78.3
2007/2009,Alberta,Males,At birth,v52302204,10.2.1,78.5
1992/1994,Alberta,Males,At age 65,v52302205,10.2.2,16.4
1993/1995,Alberta,Males,At age 65,v52302205,10.2.2,16.4
1994/1996,Alberta,Males,At age 65,v52302205,10.2.2,16.5
1995/1997,Alberta,Males,At age 65,v52302205,10.2.2,16.7
1996/1998,Alberta,Males,At age 65,v52302205,10.2.2,16.7
1997/1999,Alberta,Males,At age 65,v52302205,10.2.2,16.8
1998/2000,Alberta,Males,At age 65,v52302205,10.2.2,17.0
1999/2001,Alberta,Males,At age 65,v52302205,10.2.2,17.2
2000/2002,Alberta,Males,At age 65,v52302205,10.2.2,17.4
2001/2003,Alberta,Males,At age 65,v52302205,10.2.2,17.6
2002/2004,Alberta,Males,At age 65,v52302205,10.2.2,17.8
2003/2005,Alberta,Males,At age 65,v52302205,10.2.2,17.9
2004/2006,Alberta,Males,At age 65,v52302205,10.2.2,18.2
2005/2007,Alberta,Males,At age 65,v52302205,10.2.2,18.3
2006/2008,Alberta,Males,At age 65,v52302205,10.2.2,18.4
2007/2009,Alberta,Males,At age 65,v52302205,10.2.2,18.5
1992/1994,Alberta,Females,At birth,v52302206,10.3.1,81.1
1993/1995,Alberta,Females,At birth,v52302206,10.3.1,81.2
1994/1996,Alberta,Females,At birth,v52302206,10.3.1,81.3
1995/1997,Alberta,Females,At birth,v52302206,10.3.1,81.3
1996/1998,Alberta,Females,At birth,v52302206,10.3.1,81.5
1997/1999,Alberta,Females,At birth,v52302206,10.3.1,81.7
1998/2000,Alberta,Females,At birth,v52302206,10.3.1,81.8
1999/2001,Alberta,Females,At birth,v52302206,10.3.1,82.0
2000/2002,Alberta,Females,At birth,v52302206,10.3.1,82.1
2001/2003,Alberta,Females,At birth,v52302206,10.3.1,82.2
2002/2004,Alberta,Females,At birth,v52302206,10.3.1,82.3
2003/2005,Alberta,Females,At birth,v52302206,10.3.1,82.6
2004/2006,Alberta,Females,At birth,v52302206,10.3.1,82.8
2005/2007,Alberta,Females,At birth,v52302206,10.3.1,82.9
2006/2008,Alberta,Females,At birth,v52302206,10.3.1,83.0
2007/2009,Alberta,Females,At birth,v52302206,10.3.1,83.0
1992/1994,Alberta,Females,At age 65,v52302207,10.3.2,20.4
1993/1995,Alberta,Females,At age 65,v52302207,10.3.2,20.2
1994/1996,Alberta,Females,At age 65,v52302207,10.3.2,20.3
1995/1997,Alberta,Females,At age 65,v52302207,10.3.2,20.2
1996/1998,Alberta,Females,At age 65,v52302207,10.3.2,20.4
1997/1999,Alberta,Females,At age 65,v52302207,10.3.2,20.4
1998/2000,Alberta,Females,At age 65,v52302207,10.3.2,20.6
1999/2001,Alberta,Females,At age 65,v52302207,10.3.2,20.8
2000/2002,Alberta,Females,At age 65,v52302207,10.3.2,20.9
2001/2003,Alberta,Females,At age 65,v52302207,10.3.2,21.0
2002/2004,Alberta,Females,At age 65,v52302207,10.3.2,21.0
2003/2005,Alberta,Females,At age 65,v52302207,10.3.2,21.2
2004/2006,Alberta,Females,At age 65,v52302207,10.3.2,21.4
2005/2007,Alberta,Females,At age 65,v52302207,10.3.2,21.5
2006/2008,Alberta,Females,At age 65,v52302207,10.3.2,21.6
2007/2009,Alberta,Females,At age 65,v52302207,10.3.2,21.6
1992/1994,British Columbia,Both sexes,At birth,v52302208,11.1.1,78.4
1993/1995,British Columbia,Both sexes,At birth,v52302208,11.1.1,78.6
1994/1996,British Columbia,Both sexes,At birth,v52302208,11.1.1,78.8
1995/1997,British Columbia,Both sexes,At birth,v52302208,11.1.1,79.0
1996/1998,British Columbia,Both sexes,At birth,v52302208,11.1.1,79.2
1997/1999,British Columbia,Both sexes,At birth,v52302208,11.1.1,79.5
1998/2000,British Columbia,Both sexes,At birth,v52302208,11.1.1,79.9
1999/2001,British Columbia,Both sexes,At birth,v52302208,11.1.1,80.2
2000/2002,British Columbia,Both sexes,At birth,v52302208,11.1.1,80.4
2001/2003,British Columbia,Both sexes,At birth,v52302208,11.1.1,80.5
2002/2004,British Columbia,Both sexes,At birth,v52302208,11.1.1,80.7
2003/2005,British Columbia,Both sexes,At birth,v52302208,11.1.1,80.9
2004/2006,British Columbia,Both sexes,At birth,v52302208,11.1.1,81.0
2005/2007,British Columbia,Both sexes,At birth,v52302208,11.1.1,81.2
2006/2008,British Columbia,Both sexes,At birth,v52302208,11.1.1,81.4
2007/2009,British Columbia,Both sexes,At birth,v52302208,11.1.1,81.7
1992/1994,British Columbia,Both sexes,At age 65,v52302209,11.1.2,18.7
1993/1995,British Columbia,Both sexes,At age 65,v52302209,11.1.2,18.7
1994/1996,British Columbia,Both sexes,At age 65,v52302209,11.1.2,18.8
1995/1997,British Columbia,Both sexes,At age 65,v52302209,11.1.2,18.8
1996/1998,British Columbia,Both sexes,At age 65,v52302209,11.1.2,18.9
1997/1999,British Columbia,Both sexes,At age 65,v52302209,11.1.2,19.0
1998/2000,British Columbia,Both sexes,At age 65,v52302209,11.1.2,19.2
1999/2001,British Columbia,Both sexes,At age 65,v52302209,11.1.2,19.4
2000/2002,British Columbia,Both sexes,At age 65,v52302209,11.1.2,19.6
2001/2003,British Columbia,Both sexes,At age 65,v52302209,11.1.2,19.7
2002/2004,British Columbia,Both sexes,At age 65,v52302209,11.1.2,19.8
2003/2005,British Columbia,Both sexes,At age 65,v52302209,11.1.2,20.0
2004/2006,British Columbia,Both sexes,At age 65,v52302209,11.1.2,20.2
2005/2007,British Columbia,Both sexes,At age 65,v52302209,11.1.2,20.4
2006/2008,British Columbia,Both sexes,At age 65,v52302209,11.1.2,20.5
2007/2009,British Columbia,Both sexes,At age 65,v52302209,11.1.2,20.7
1992/1994,British Columbia,Males,At birth,v52302210,11.2.1,75.5
1993/1995,British Columbia,Males,At birth,v52302210,11.2.1,75.7
1994/1996,British Columbia,Males,At birth,v52302210,11.2.1,75.9
1995/1997,British Columbia,Males,At birth,v52302210,11.2.1,76.2
1996/1998,British Columbia,Males,At birth,v52302210,11.2.1,76.5
1997/1999,British Columbia,Males,At birth,v52302210,11.2.1,76.9
1998/2000,British Columbia,Males,At birth,v52302210,11.2.1,77.4
1999/2001,British Columbia,Males,At birth,v52302210,11.2.1,77.7
2000/2002,British Columbia,Males,At birth,v52302210,11.2.1,78.0
2001/2003,British Columbia,Males,At birth,v52302210,11.2.1,78.2
2002/2004,British Columbia,Males,At birth,v52302210,11.2.1,78.4
2003/2005,British Columbia,Males,At birth,v52302210,11.2.1,78.5
2004/2006,British Columbia,Males,At birth,v52302210,11.2.1,78.7
2005/2007,British Columbia,Males,At birth,v52302210,11.2.1,78.9
2006/2008,British Columbia,Males,At birth,v52302210,11.2.1,79.2
2007/2009,British Columbia,Males,At birth,v52302210,11.2.1,79.5
1992/1994,British Columbia,Males,At age 65,v52302211,11.2.2,16.8
1993/1995,British Columbia,Males,At age 65,v52302211,11.2.2,16.8
1994/1996,British Columbia,Males,At age 65,v52302211,11.2.2,16.9
1995/1997,British Columbia,Males,At age 65,v52302211,11.2.2,17.0
1996/1998,British Columbia,Males,At age 65,v52302211,11.2.2,17.1
1997/1999,British Columbia,Males,At age 65,v52302211,11.2.2,17.2
1998/2000,British Columbia,Males,At age 65,v52302211,11.2.2,17.5
1999/2001,British Columbia,Males,At age 65,v52302211,11.2.2,17.6
2000/2002,British Columbia,Males,At age 65,v52302211,11.2.2,18.0
2001/2003,British Columbia,Males,At age 65,v52302211,11.2.2,18.1
2002/2004,British Columbia,Males,At age 65,v52302211,11.2.2,18.4
2003/2005,British Columbia,Males,At age 65,v52302211,11.2.2,18.5
2004/2006,British Columbia,Males,At age 65,v52302211,11.2.2,18.7
2005/2007,British Columbia,Males,At age 65,v52302211,11.2.2,18.9
2006/2008,British Columbia,Males,At age 65,v52302211,11.2.2,19.0
2007/2009,British Columbia,Males,At age 65,v52302211,11.2.2,19.2
1992/1994,British Columbia,Females,At birth,v52302212,11.3.1,81.5
1993/1995,British Columbia,Females,At birth,v52302212,11.3.1,81.5
1994/1996,British Columbia,Females,At birth,v52302212,11.3.1,81.6
1995/1997,British Columbia,Females,At birth,v52302212,11.3.1,81.8
1996/1998,British Columbia,Females,At birth,v52302212,11.3.1,81.9
1997/1999,British Columbia,Females,At birth,v52302212,11.3.1,82.2
1998/2000,British Columbia,Females,At birth,v52302212,11.3.1,82.4
1999/2001,British Columbia,Females,At birth,v52302212,11.3.1,82.7
2000/2002,British Columbia,Females,At birth,v52302212,11.3.1,82.8
2001/2003,British Columbia,Females,At birth,v52302212,11.3.1,82.9
2002/2004,British Columbia,Females,At birth,v52302212,11.3.1,82.9
2003/2005,British Columbia,Females,At birth,v52302212,11.3.1,83.1
2004/2006,British Columbia,Females,At birth,v52302212,11.3.1,83.3
2005/2007,British Columbia,Females,At birth,v52302212,11.3.1,83.5
2006/2008,British Columbia,Females,At birth,v52302212,11.3.1,83.6
2007/2009,British Columbia,Females,At birth,v52302212,11.3.1,83.9
1992/1994,British Columbia,Females,At age 65,v52302213,11.3.2,20.3
1993/1995,British Columbia,Females,At age 65,v52302213,11.3.2,20.4
1994/1996,British Columbia,Females,At age 65,v52302213,11.3.2,20.4
1995/1997,British Columbia,Females,At age 65,v52302213,11.3.2,20.5
1996/1998,British Columbia,Females,At age 65,v52302213,11.3.2,20.5
1997/1999,British Columbia,Females,At age 65,v52302213,11.3.2,20.6
1998/2000,British Columbia,Females,At age 65,v52302213,11.3.2,20.8
1999/2001,British Columbia,Females,At age 65,v52302213,11.3.2,21.0
2000/2002,British Columbia,Females,At age 65,v52302213,11.3.2,21.1
2001/2003,British Columbia,Females,At age 65,v52302213,11.3.2,21.1
2002/2004,British Columbia,Females,At age 65,v52302213,11.3.2,21.1
2003/2005,British Columbia,Females,At age 65,v52302213,11.3.2,21.3
2004/2006,British Columbia,Females,At age 65,v52302213,11.3.2,21.5
2005/2007,British Columbia,Females,At age 65,v52302213,11.3.2,21.7
2006/2008,British Columbia,Females,At age 65,v52302213,11.3.2,21.8
2007/2009,British Columbia,Females,At age 65,v52302213,11.3.2,22.0
1992/1994,Territories,Both sexes,At birth,v52302214,12.1.1,73.2
1993/1995,Territories,Both sexes,At birth,v52302214,12.1.1,73.6
1994/1996,Territories,Both sexes,At birth,v52302214,12.1.1,74.2
1995/1997,Territories,Both sexes,At birth,v52302214,12.1.1,74.4
1996/1998,Territories,Both sexes,At birth,v52302214,12.1.1,74.2
1997/1999,Territories,Both sexes,At birth,v52302214,12.1.1,74.1
1998/2000,Territories,Both sexes,At birth,v52302214,12.1.1,73.7
1999/2001,Territories,Both sexes,At birth,v52302214,12.1.1,74.0
2000/2002,Territories,Both sexes,At birth,v52302214,12.1.1,74.2
2001/2003,Territories,Both sexes,At birth,v52302214,12.1.1,74.4
2002/2004,Territories,Both sexes,At birth,v52302214,12.1.1,74.8
2003/2005,Territories,Both sexes,At birth,v52302214,12.1.1,75.5
2004/2006,Territories,Both sexes,At birth,v52302214,12.1.1,75.9
2005/2007,Territories,Both sexes,At birth,v52302214,12.1.1,75.8
2006/2008,Territories,Both sexes,At birth,v52302214,12.1.1,75.2
2007/2009,Territories,Both sexes,At birth,v52302214,12.1.1,75.1
1992/1994,Territories,Both sexes,At age 65,v52302215,12.1.2,15.6
1993/1995,Territories,Both sexes,At age 65,v52302215,12.1.2,16.0
1994/1996,Territories,Both sexes,At age 65,v52302215,12.1.2,16.5
1995/1997,Territories,Both sexes,At age 65,v52302215,12.1.2,16.6
1996/1998,Territories,Both sexes,At age 65,v52302215,12.1.2,16.7
1997/1999,Territories,Both sexes,At age 65,v52302215,12.1.2,16.6
1998/2000,Territories,Both sexes,At age 65,v52302215,12.1.2,16.2
1999/2001,Territories,Both sexes,At age 65,v52302215,12.1.2,15.9
2000/2002,Territories,Both sexes,At age 65,v52302215,12.1.2,15.8
2001/2003,Territories,Both sexes,At age 65,v52302215,12.1.2,16.1
2002/2004,Territories,Both sexes,At age 65,v52302215,12.1.2,16.7
2003/2005,Territories,Both sexes,At age 65,v52302215,12.1.2,17.2
2004/2006,Territories,Both sexes,At age 65,v52302215,12.1.2,17.2
2005/2007,Territories,Both sexes,At age 65,v52302215,12.1.2,16.9
2006/2008,Territories,Both sexes,At age 65,v52302215,12.1.2,16.7
2007/2009,Territories,Both sexes,At age 65,v52302215,12.1.2,16.9
1992/1994,Territories,Males,At birth,v52302216,12.2.1,70.6
1993/1995,Territories,Males,At birth,v52302216,12.2.1,71.0
1994/1996,Territories,Males,At birth,v52302216,12.2.1,71.2
1995/1997,Territories,Males,At birth,v52302216,12.2.1,71.9
1996/1998,Territories,Males,At birth,v52302216,12.2.1,71.6
1997/1999,Territories,Males,At birth,v52302216,12.2.1,71.9
1998/2000,Territories,Males,At birth,v52302216,12.2.1,71.5
1999/2001,Territories,Males,At birth,v52302216,12.2.1,71.9
2000/2002,Territories,Males,At birth,v52302216,12.2.1,71.9
2001/2003,Territories,Males,At birth,v52302216,12.2.1,72.0
2002/2004,Territories,Males,At birth,v52302216,12.2.1,72.3
2003/2005,Territories,Males,At birth,v52302216,12.2.1,72.9
2004/2006,Territories,Males,At birth,v52302216,12.2.1,73.3
2005/2007,Territories,Males,At birth,v52302216,12.2.1,73.1
2006/2008,Territories,Males,At birth,v52302216,12.2.1,72.5
2007/2009,Territories,Males,At birth,v52302216,12.2.1,72.5
1992/1994,Territories,Males,At age 65,v52302217,12.2.2,14.6
1993/1995,Territories,Males,At age 65,v52302217,12.2.2,14.7
1994/1996,Territories,Males,At age 65,v52302217,12.2.2,14.8
1995/1997,Territories,Males,At age 65,v52302217,12.2.2,15.0
1996/1998,Territories,Males,At age 65,v52302217,12.2.2,15.4
1997/1999,Territories,Males,At age 65,v52302217,12.2.2,15.6
1998/2000,Territories,Males,At age 65,v52302217,12.2.2,15.3
1999/2001,Territories,Males,At age 65,v52302217,12.2.2,15.3
2000/2002,Territories,Males,At age 65,v52302217,12.2.2,14.9
2001/2003,Territories,Males,At age 65,v52302217,12.2.2,15.3
2002/2004,Territories,Males,At age 65,v52302217,12.2.2,15.7
2003/2005,Territories,Males,At age 65,v52302217,12.2.2,16.1
2004/2006,Territories,Males,At age 65,v52302217,12.2.2,15.6
2005/2007,Territories,Males,At age 65,v52302217,12.2.2,15.3
2006/2008,Territories,Males,At age 65,v52302217,12.2.2,15.3
2007/2009,Territories,Males,At age 65,v52302217,12.2.2,15.6
1992/1994,Territories,Females,At birth,v52302218,12.3.1,76.6
1993/1995,Territories,Females,At birth,v52302218,12.3.1,77.1
1994/1996,Territories,Females,At birth,v52302218,12.3.1,78.0
1995/1997,Territories,Females,At birth,v52302218,12.3.1,77.6
1996/1998,Territories,Females,At birth,v52302218,12.3.1,77.5
1997/1999,Territories,Females,At birth,v52302218,12.3.1,76.7
1998/2000,Territories,Females,At birth,v52302218,12.3.1,76.3
1999/2001,Territories,Females,At birth,v52302218,12.3.1,76.7
2000/2002,Territories,Females,At birth,v52302218,12.3.1,76.9
2001/2003,Territories,Females,At birth,v52302218,12.3.1,77.1
2002/2004,Territories,Females,At birth,v52302218,12.3.1,77.7
2003/2005,Territories,Females,At birth,v52302218,12.3.1,78.6
2004/2006,Territories,Females,At birth,v52302218,12.3.1,79.3
2005/2007,Territories,Females,At birth,v52302218,12.3.1,79.1
2006/2008,Territories,Females,At birth,v52302218,12.3.1,78.5
2007/2009,Territories,Females,At birth,v52302218,12.3.1,78.2
1992/1994,Territories,Females,At age 65,v52302219,12.3.2,17.0
1993/1995,Territories,Females,At age 65,v52302219,12.3.2,17.7
1994/1996,Territories,Females,At age 65,v52302219,12.3.2,18.8
1995/1997,Territories,Females,At age 65,v52302219,12.3.2,18.7
1996/1998,Territories,Females,At age 65,v52302219,12.3.2,18.4
1997/1999,Territories,Females,At age 65,v52302219,12.3.2,17.8
1998/2000,Territories,Females,At age 65,v52302219,12.3.2,17.2
1999/2001,Territories,Females,At age 65,v52302219,12.3.2,16.9
2000/2002,Territories,Females,At age 65,v52302219,12.3.2,17.0
2001/2003,Territories,Females,At age 65,v52302219,12.3.2,17.0
2002/2004,Territories,Females,At age 65,v52302219,12.3.2,17.8
2003/2005,Territories,Females,At age 65,v52302219,12.3.2,18.4
2004/2006,Territories,Females,At age 65,v52302219,12.3.2,19.2
2005/2007,Territories,Females,At age 65,v52302219,12.3.2,19.0
2006/2008,Territories,Females,At age 65,v52302219,12.3.2,18.4
2007/2009,Territories,Females,At age 65,v52302219,12.3.2,18.4
